"name","games","gs","mpg","fg","fga","fgp","two","twoa","twop","three","threea","threep","ft","fta","ftp","orb","drb","trb","apg","spg","bpg","tpg","pfpg","ppg","sos","allstar"
"Dennis Scott",99,98,37.2,7.5,16.6,0.452,4,8.2,0.483,3.5,8.4,0.422,2.8,3.6,0.777,NA,NA,5.3,2.9,1.5,0.5,2.3,2.1,21.4,8.65,0
"James Scott",55,39,27.1,4.7,10.9,0.432,4,8.3,0.488,0.7,2.7,0.259,2.4,3.3,0.74,NA,NA,4,1.8,1.6,0.1,2.1,2.3,12.6,7.62,0
"Mike Scott",55,33,22.9,1.9,5,0.389,1.5,3.6,0.429,0.4,1.4,0.286,1.9,2.8,0.677,1.5,2.1,3.5,2,1.3,0.1,1.6,2.9,6.2,-5.05,0
"Shawnelle Scott",113,28,25,4.3,8.1,0.537,4.3,8,0.539,0,0,0,1.8,3.2,0.562,NA,NA,6.5,0.8,0.9,0.6,1.4,3.1,10.5,9.2,0
"Carey Scurry",79,NA,NA,6.9,12.9,0.538,NA,NA,NA,NA,NA,NA,4,5.6,0.709,NA,NA,12.8,2.6,2.6,3.7,NA,NA,17.9,-6.96,0
"Shea Seals",124,122,32.5,5.9,14.8,0.396,3.5,7.5,0.459,2.4,7.3,0.33,4.3,6.1,0.702,NA,NA,6.3,3.1,1.8,0.3,2.7,2,18.5,3.55,0
"Malik Sealy",127,34,38.1,7.1,14.4,0.494,6.8,13,0.518,0.3,1.3,0.247,4.4,6.2,0.712,NA,NA,6.9,1.8,1.9,0.9,2.3,2.7,18.9,8.56,0
"Rony Seikaly",136,133,27.7,4.8,8.6,0.56,NA,NA,0.568,NA,NA,0,3,5.3,0.576,NA,NA,8,0.6,0.6,2.3,2,3.3,12.6,7.62,0
"Josh Selby",26,11,20.4,2.8,7.4,0.373,1.5,3.8,0.384,1.3,3.6,0.362,1.1,1.4,0.757,0.4,1.8,2.2,2.2,0.8,0,2,1.7,7.9,7.62,0
"Wayne Selden",109,108,29.5,3.9,8.9,0.436,2.4,4.8,0.494,1.5,4.1,0.366,1.8,2.8,0.632,0.9,2.1,3,2.6,0.7,0.4,1.9,2,11,11.58,0
"Brad Sellers",118,116,35.5,6.6,13.3,0.495,NA,NA,0.509,NA,NA,0,3.5,4.4,0.789,NA,NA,9.8,1.3,1,2.5,2.5,3,16.6,7.52,0
"Ansu Sesay",110,85,29.1,4.4,10.4,0.428,3.9,8.3,0.468,0.6,2.1,0.268,3.6,4.9,0.724,NA,NA,6.4,2.1,0.9,0.9,NA,2.8,13,5.85,0
"Ramon Sessions",97,94,29.2,3.2,7.6,0.417,2.9,6.7,0.43,0.3,0.8,0.313,2.2,3,0.74,1,3.2,4.2,4.9,1.2,0.1,2.6,1.3,8.8,2.12,0
"Tom Sewell",89,88,29.6,7,13.3,0.529,NA,NA,NA,NA,NA,NA,2.7,3.5,0.778,NA,NA,3.5,2,1.4,0.1,2.3,1.9,16.8,-1.46,0
"Charles Shackleford",94,93,30.8,5.9,11.6,0.511,NA,NA,0.507,NA,NA,0,1.9,3.3,0.568,NA,NA,7.8,0.9,0.8,1.1,2.1,2.7,13.7,8.34,0
"Mustafa Shakur",131,129,31,3.4,7.6,0.452,2.6,5.4,0.49,0.8,2.2,0.355,2.5,3.1,0.786,0.7,3,3.7,5.1,1.2,0.1,3,2.2,10.1,8.87,0
"God Shammgod",65,34,32.5,3.2,8.1,0.393,2.7,5.9,0.462,0.5,2.2,0.208,3.4,5.1,0.676,NA,NA,2,6.6,2,0.1,3,3.3,10.3,8.88,0
"Bill Sharman",82,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,3,3.8,0.803,NA,NA,NA,NA,NA,NA,NA,1.3,13.5,0.31,1
"Walter Sharpe",40,10,15.3,2.8,5.2,0.534,2.8,5.1,0.541,0,0.1,0,1.4,2.8,0.5,1.4,2.4,3.8,0.9,0.6,0.9,1.6,2,7,4.6,0
"John Shasky",112,30,25.9,3.8,7.1,0.53,NA,NA,NA,NA,NA,NA,2.1,3.2,0.655,NA,NA,5.3,0.7,0.4,1.1,1.5,2.2,9.6,8.22,0
"Brian Shaw",100,84,31.9,3.9,8.9,0.434,NA,NA,0.468,NA,NA,0.379,1.9,2.6,0.728,NA,NA,6.4,5.4,1.3,0.3,3.1,2.6,10.1,2.66,0
"Casey Shaw",113,26,31.3,5.3,9.7,0.546,5.3,9.7,0.547,0,0,0,3.3,5.5,0.594,NA,NA,7.7,1.2,0.5,1,NA,2.9,13.8,0.59,0
"Craig Shelton",93,31,32.5,6,10.1,0.591,NA,NA,NA,NA,NA,NA,3.2,4.2,0.751,NA,NA,7.4,1.4,1.1,0.5,2.5,2.6,15.2,2.03,0
"Lonnie Shelton",80,NA,NA,6.7,12.4,0.54,NA,NA,NA,NA,NA,NA,2.8,4,0.692,NA,NA,8.4,2.7,NA,NA,2.6,4.1,16.2,7.18,1
"Jeffrey Sheppard",134,65,18.7,2.9,6.3,0.464,2,3.8,0.513,1,2.5,0.388,1.4,2,0.691,NA,NA,2.4,2.1,0.9,0.2,NA,1.8,8.1,9.77,0
"Paul Shirley",109,46,20.3,2.6,4.7,0.554,2.6,4.7,0.554,0,0,0.5,2.3,3.4,0.684,NA,NA,5.1,0.6,0.6,0.4,1.4,2.4,7.5,6.08,0
"Purvis Short",22,NA,NA,13,24.3,0.533,NA,NA,NA,NA,NA,NA,3.6,5,0.721,NA,NA,11.4,NA,NA,NA,NA,3,29.5,-7.21,0
"Dexter Shouse",58,50,32.6,5.3,11.1,0.477,NA,NA,NA,NA,NA,NA,2.2,2.8,0.798,NA,NA,2.5,4,2,0.5,2.6,2.7,12.9,1.15,0
"Gene Shue",72,NA,NA,6.7,14.4,0.466,NA,NA,NA,NA,NA,NA,5,6.9,0.729,NA,NA,NA,NA,NA,NA,NA,2.6,18.5,-7.37,1
"John Shumate",59,NA,35.5,9.1,14.9,0.61,NA,NA,NA,NA,NA,NA,4.4,6.4,0.688,NA,NA,11.6,1.9,NA,NA,NA,2.2,22.6,6.06,0
"Iman Shumpert",92,91,31.3,4.2,10.6,0.396,3,6.7,0.45,1.2,4,0.305,3.1,4.1,0.738,1.1,3.4,4.5,4.2,2.3,0.2,3,2.7,12.7,7.34,0
"Pascal Siakam",68,61,32.7,6.5,11.8,0.551,6.4,11.5,0.559,0,0.3,0.176,3.5,5,0.711,3.6,6.1,9.7,1.5,0.9,2,1.9,2.6,16.6,-3.6,1
"Jerry Sichting",117,62,26.9,3.8,7.3,0.52,NA,NA,NA,NA,NA,NA,2.3,2.7,0.867,NA,NA,2.1,3.3,NA,NA,NA,1.8,9.9,7.88,0
"Paul Silas",81,NA,NA,7.9,19.6,0.406,NA,NA,NA,NA,NA,NA,4.6,7.9,0.589,NA,NA,21.6,NA,NA,NA,NA,2.9,20.5,3.06,1
"Xavier Silas",99,87,30.6,5,12,0.412,3.3,7.3,0.445,1.7,4.7,0.361,4.5,5.7,0.787,1.2,3.1,4.2,1.7,0.9,0.3,2.8,2.8,16.1,2.44,0
"Wayne Simien",106,69,26.6,5.5,9.9,0.558,5.5,9.7,0.566,0.1,0.2,0.24,3.9,5,0.784,2.8,5.5,8.3,0.9,0.7,0.7,1.7,2.3,15,10.04,0
"Ben Simmons",33,32,34.9,6.5,11.7,0.56,6.5,11.6,0.561,0,0.1,0.333,6,9,0.67,3.1,8.6,11.8,4.8,2,0.8,3.4,2.8,19.2,7,1
"Bobby Simmons",93,92,31.6,4.3,10.1,0.428,3,6.2,0.49,1.3,3.9,0.331,3.6,4.6,0.783,NA,NA,7.5,2.2,1.3,0.2,2.5,2.9,13.6,7.95,0
"Cedric Simmons",63,33,18.9,2.7,4.8,0.565,2.7,4.7,0.566,0,0.1,0.5,2.3,3.5,0.652,1.3,2.9,4.1,1.1,0.4,1.8,1.3,2.5,7.7,7.39,0
"Jonathon Simmons",30,29,30.1,5.1,10,0.512,4.1,7.3,0.56,1.1,2.8,0.386,3.4,4.7,0.716,1.4,3.6,5,2.2,0.7,0.4,3.3,2.5,14.7,0.21,0
"Kobi Simmons",37,19,23.5,3,7.6,0.395,2.1,4.9,0.432,0.9,2.6,0.327,1.9,2.4,0.775,0.4,1.3,1.6,2,0.6,0.1,1.2,1.9,8.7,7.63,0
"Lionel Simmons",131,131,38.5,9.5,18.9,0.501,9.1,17.9,0.506,0.4,1,0.415,5.1,7.1,0.722,3.5,7.4,10.9,2.7,1.8,1.9,2.9,2.2,24.6,-0.92,0
"Miles Simon",114,90,30.6,4.8,10.3,0.463,3.2,6.2,0.523,1.5,4.1,0.374,3.5,4.6,0.767,NA,NA,3.8,3.6,1.1,0.1,2.9,1.9,14.6,9.54,0
"Dickey Simpkins",125,29,26.7,3.4,7.1,0.486,3.4,6.9,0.49,0.1,0.2,0.346,2.9,4.4,0.646,NA,NA,6.3,1.2,0.7,0.8,2.1,2.5,9.8,7.59,0
"Ralph Simpson",23,NA,NA,11.5,25.6,0.449,NA,NA,NA,NA,NA,NA,6,7.3,0.822,NA,NA,10.4,NA,NA,NA,NA,3.2,29,5.39,0
"Alvin Sims",127,40,22.3,3.1,6.4,0.48,2.6,4.8,0.534,0.5,1.5,0.311,1.7,2.8,0.623,NA,NA,3.9,1.9,1.7,0.4,2.1,2.6,8.3,8.2,0
"Courtney Sims",133,111,23.2,3.8,6.5,0.586,3.8,6.4,0.592,0,0.1,0.154,2.3,3.4,0.687,1.9,3.6,5.5,0.6,0.4,1.6,2,2.4,10,6.78,0
"Henry Sims",121,34,15.1,1.8,3.7,0.479,1.8,3.6,0.493,0,0.1,0.118,1.3,2,0.654,0.9,2.2,3.2,1.4,0.3,0.8,1.3,1.7,4.9,9.15,0
"Kyle Singler",148,147,33,5.5,12.7,0.433,3.7,7.7,0.479,1.8,5,0.363,3.4,4.3,0.773,2.4,4.4,6.9,2,1.1,0.7,2.1,2.6,16.2,8.97,0
"Sean Singletary",123,123,32.8,5.2,12.9,0.406,3.4,7.9,0.433,1.8,5,0.362,4.7,5.5,0.846,1,3,4,4.8,1.6,0.1,3.3,2.7,16.9,7.98,0
"Chris Singleton",95,91,29.1,3.5,8.4,0.419,2.4,5.1,0.476,1.1,3.3,0.33,2.1,3.5,0.592,2,4.2,6.2,1.5,1.9,1.4,2.4,3.1,10.3,7.05,0
"James Singleton",60,53,31.4,5,8.8,0.567,4.7,8.1,0.579,0.3,0.7,0.429,3.3,4.1,0.794,3.7,6.9,10.5,1.5,1.1,1.9,2,3,13.5,-2.36,0
"McKinley Singleton",62,37,25,4.6,10.4,0.439,NA,NA,0.385,NA,NA,0.333,1.4,1.9,0.759,NA,NA,2.6,1.9,1,0.1,1.2,1.7,10.5,3.38,0
"Charlie Sitton",117,29,30.4,5,8.7,0.575,NA,NA,NA,NA,NA,NA,3.4,4.4,0.769,NA,NA,4.3,2.2,0.7,0.5,NA,3.6,13.3,4.84,0
"Peyton Siva",144,113,26.2,2.9,6.9,0.417,2.2,4.5,0.482,0.7,2.4,0.291,2,2.8,0.737,0.3,2.1,2.4,4.7,1.8,0.1,2.7,2.6,8.4,8.59,0
"Scott Skiles",118,115,36.3,7.1,13.8,0.516,NA,NA,0.492,NA,NA,0.5,3.8,4.4,0.85,NA,NA,3,5.5,1.5,0,3.7,2.7,18.2,7.17,0
"Al Skinner",79,NA,33.1,6.1,10.9,0.557,NA,NA,NA,NA,NA,NA,3.5,4.7,0.751,NA,NA,9.5,4.1,NA,NA,NA,3.1,15.6,-7.09,0
"Brian Skinner",103,102,33,6.5,11.4,0.575,6.5,11.4,0.575,0,0,NA,3.5,6.2,0.558,NA,NA,8.9,0.6,1.1,3.4,NA,3,16.5,2.15,0
"Reggie Slater",121,NA,32,5.3,9.1,0.585,5.3,9.1,0.585,0,0,0,4.3,6,0.717,NA,NA,9.9,1.1,0.7,0.8,NA,NA,15,3.89,0
"Jose Slaughter",110,NA,31.6,7.3,14.6,0.496,NA,NA,NA,NA,NA,NA,3.1,4.6,0.675,NA,NA,5.3,2.4,1.6,0.4,2.6,2.9,17.6,0.55,0
"Tamar Slay",114,102,28.8,5.5,12.4,0.443,3.3,6.7,0.491,2.2,5.7,0.386,2.5,3.4,0.749,1.1,3.4,4.4,2.2,1.2,0.5,2.4,NA,15.7,0.6,0
"Donald Sloan",138,103,28,3.8,8.8,0.428,2.9,6.3,0.464,0.8,2.5,0.336,2.7,3.6,0.732,0.5,2.7,3.3,2.7,0.6,0.1,1.9,1.4,11,7.13,0
"Tom Sluby",98,21,23.7,3.9,7.9,0.495,NA,NA,NA,NA,NA,NA,1.6,2.5,0.65,NA,NA,2,1.3,0.6,0.2,NA,2.4,9.4,3.28,0
"Keith Smart",63,52,26,4.7,9,0.518,4.3,8.1,0.538,0.3,1,0.344,2.4,2.9,0.856,NA,NA,3,3.1,0.9,0.1,2.3,2.7,12.1,9.38,0
"Marcus Smart",64,63,33.1,4.9,11.9,0.413,3.5,7.3,0.488,1.4,4.6,0.295,5.5,7.3,0.751,1.5,4.4,5.9,4.5,2.9,0.6,3,2.9,16.6,7.53,0
"Bingo Smith",77,NA,NA,7.6,16.1,0.473,NA,NA,NA,NA,NA,NA,2.6,3.5,0.744,NA,NA,9.5,NA,NA,NA,NA,2.2,17.8,4.92,0
"Charles Smith",122,122,33.6,5.8,11.6,0.5,NA,NA,0.559,NA,NA,0.273,5.1,6.8,0.753,NA,NA,8.1,1.4,0.9,2.8,2,3.2,16.8,6.9,0
"Charles Smith",122,122,33.6,5.8,11.6,0.5,NA,NA,0.559,NA,NA,0.273,5.1,6.8,0.753,NA,NA,8.1,1.4,0.9,2.8,2,3.2,16.8,6.9,0
"Charles Smith",122,122,33.6,5.8,11.6,0.5,NA,NA,0.559,NA,NA,0.273,5.1,6.8,0.753,NA,NA,8.1,1.4,0.9,2.8,2,3.2,16.8,6.9,0
"Chris Smith",127,119,33.6,5.7,13.6,0.421,3.8,8.9,0.432,1.9,4.8,0.4,3.5,4.6,0.761,NA,NA,2.9,3.4,1.5,0.3,2.3,2.2,16.9,7.55,0
"Chris Smith",127,119,33.6,5.7,13.6,0.421,3.8,8.9,0.432,1.9,4.8,0.4,3.5,4.6,0.761,NA,NA,2.9,3.4,1.5,0.3,2.3,2.2,16.9,7.55,0
"Clinton Smith",84,30,21.3,5,9.3,0.542,NA,NA,NA,NA,NA,NA,1.7,2.8,0.608,NA,NA,4.2,1.5,1.2,0.1,1.6,1.5,11.8,0.33,0
"Craig Smith",130,127,34,7.1,12.7,0.558,7,12.2,0.572,0.1,0.5,0.239,3.8,5.9,0.643,3,5.6,8.6,1.9,1.3,0.8,2.3,2.9,18.1,6.73,0
"Dennis Smith",3,0,3,1.3,2,0.667,1.3,2,0.667,0,0,NA,0.7,0.7,1,NA,NA,1.3,0,0,0,NA,0.3,3.3,4.36,0
"Derek Smith",131,33,28.7,5.5,9.5,0.577,NA,NA,NA,NA,NA,NA,2.9,4.4,0.67,NA,NA,6.7,1.9,1.1,0.5,2.2,3.1,13.9,4.84,0
"Doug Smith",128,113,29.4,7,13.7,0.51,7,13.6,0.515,0,0.2,0.174,3,4,0.747,NA,NA,8.2,2.5,1.4,1,2.6,3.3,17.1,9.82,0
"Greg Smith",49,24,10.8,1.1,2.7,0.391,0.9,2.5,0.371,0.1,0.2,0.667,0.2,0.3,0.688,0.7,0.9,1.7,0.2,0.3,0.3,0.4,1.6,2.5,-6.19,0
"Jabari Smith",61,58,29.1,4.4,8.3,0.532,4,7,0.579,0.4,1.4,0.298,3.3,5.1,0.639,NA,NA,8.2,2.1,0.9,1.1,3,2.6,12.6,5.92,0
"Jason Smith",87,70,27.9,5.2,9.6,0.548,5.1,9.3,0.556,0.1,0.3,0.308,4.1,5.5,0.751,2.6,5.3,7.9,2,0.5,1.7,3.1,3.3,14.7,3.95,0
"Jerry Smith",138,111,23.7,2.9,6.3,0.454,1.4,2.4,0.56,1.5,3.9,0.389,1.4,2,0.73,0.9,2.2,3.1,1.7,1.3,0.2,1.4,2.1,8.7,8.02,0
"Jim Smith",114,104,24.7,2.9,5.6,0.514,NA,NA,NA,NA,NA,NA,1.2,2.2,0.541,NA,NA,5.4,0.5,0.6,1.5,1.4,3.6,6.9,8.92,0
"Joe Smith",64,64,32.8,7,12.8,0.551,6.9,12.4,0.555,0.2,0.4,0.423,5.9,8,0.738,NA,NA,10.7,1,1.5,3,2,3,20.2,8.92,0
"Keith Smith",26,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.05,0
"Kenny Smith",127,68,33.2,4.9,9.7,0.512,NA,NA,0.602,NA,NA,0.408,2.3,2.8,0.823,NA,NA,2.2,6,1.5,0,2.9,1.5,12.9,8.49,0
"LaBradford Smith",133,133,31.4,4.5,9.3,0.481,3.5,6.4,0.546,1,2.9,0.339,3.7,4.3,0.866,NA,NA,2.9,5.4,1.7,0.1,3.8,2.7,13.6,8.3,0
"Larry Smith",77,NA,32.7,7.2,12.1,0.591,NA,NA,NA,NA,NA,NA,3.3,5.2,0.633,NA,NA,13.1,2.3,1.3,1.3,2.3,2.8,17.6,-6.23,0
"Michael Smith",122,85,31.8,7.3,14.3,0.507,NA,NA,0.532,NA,NA,0.43,3.5,4,0.878,NA,NA,7.6,2.6,0.6,0.2,2.9,2.6,19,4.66,0
"Michael Smith",122,85,31.8,7.3,14.3,0.507,NA,NA,0.532,NA,NA,0.43,3.5,4,0.878,NA,NA,7.6,2.6,0.6,0.2,2.9,2.6,19,4.66,0
"Nolan Smith",143,97,26.9,4.7,10.4,0.448,3.5,7.3,0.482,1.2,3.2,0.368,2.9,3.6,0.8,0.8,2,2.8,2.8,1,0.1,2,1.9,13.4,8.97,0
"Otis Smith",117,116,36.4,5.9,12.3,0.477,NA,NA,0.476,NA,NA,0.286,2.9,4,0.73,NA,NA,7.8,2.3,1.6,1.8,2.5,2.7,14.6,4.22,0
"Phil Smith",84,NA,NA,7.3,14.8,0.497,NA,NA,NA,NA,NA,NA,3.5,5.1,0.685,NA,NA,5.1,3.4,NA,NA,NA,2.5,18.1,1.15,1
"Reggie Smith",121,NA,29,5.1,10.3,0.496,5.1,10.3,0.497,0,0,0,3.2,5.6,0.574,NA,NA,8,1.3,0.9,1.1,1.9,3.7,13.5,1.72,0
"Robert Smith",92,NA,24.9,4,8.2,0.491,NA,NA,NA,NA,NA,NA,2.3,2.7,0.878,NA,NA,1.9,4.8,NA,NA,1.9,2.3,10.4,1.23,0
"Russ Smith",133,80,24.3,4.7,11.3,0.413,3.3,7.4,0.449,1.4,3.9,0.345,3.7,4.8,0.76,0.7,2,2.7,2.8,1.9,0.1,2.4,2.4,14.3,7.79,0
"Sam Smith",60,NA,24.3,6.8,13,0.521,NA,NA,NA,NA,NA,NA,2.2,3,0.739,NA,NA,3.1,2.3,1.9,NA,1.5,2.2,15.7,1.38,0
"Steve Smith",122,85,34.4,6.8,13.9,0.487,5.6,11,0.506,1.2,2.9,0.416,3.8,5,0.756,NA,NA,6.1,3.7,0.9,0.3,3.1,2.6,18.5,9.61,1
"Steven Smith",107,106,35.9,6.6,14.3,0.463,5.5,11,0.504,1.1,3.3,0.326,3.9,4.9,0.794,2.4,5.7,8.1,1.7,1.2,0.7,3.3,2.9,18.1,1.87,0
"Stevin Smith",115,78,31.8,4.5,11,0.408,1.7,3.3,0.516,2.8,7.7,0.363,2.7,3.6,0.773,NA,NA,2.6,3.6,2.1,0.1,NA,NA,14.5,7.85,0
"Theron Smith",99,99,32.9,5.6,11.7,0.479,4.4,8.5,0.521,1.2,3.2,0.37,3.7,5.1,0.725,2.9,6,8.9,1.5,0.9,0.4,2.2,2.7,16.2,2.23,0
"Tony Smith",114,52,32.4,5.4,10.4,0.521,4.9,9.3,0.531,0.5,1.1,0.43,3.6,4.5,0.785,NA,NA,4.1,4.1,1.7,0.5,2.9,2.6,14.8,3.03,0
"Willie Smith",58,NA,NA,9.5,20.2,0.47,NA,NA,NA,NA,NA,NA,5,6.3,0.79,NA,NA,5.6,NA,NA,NA,NA,2.6,23.9,1.68,0
"Rik Smits",107,69,29.4,7.1,11.6,0.609,NA,NA,0.619,NA,NA,0,4,5.8,0.693,NA,NA,7.6,0.4,0.4,3.2,NA,NA,18.2,-9.08,1
"Mike Smrek",108,34,23.3,3.7,6.4,0.578,NA,NA,NA,NA,NA,NA,1.7,2.9,0.603,NA,NA,5.2,0.8,0.3,1.6,2.1,3.1,9.1,-4.59,0
"Tony Snell",104,76,24.8,3,7.1,0.421,1.4,2.9,0.48,1.6,4.2,0.38,1.6,1.9,0.821,0.4,2,2.4,2,0.5,0.3,1.5,1.2,9.2,4.94,0
"Eric Snow",113,87,25.2,2.4,4.6,0.521,2.2,4,0.565,0.2,0.7,0.263,0.9,2,0.459,NA,NA,2.6,5.3,1.3,0.1,2.3,2.2,5.9,9.85,0
"Kirk Snyder",84,74,30.8,5.7,13.3,0.426,4.4,9.3,0.477,1.3,4.1,0.31,4.1,6,0.677,2.3,4.1,6.4,2.7,0.9,0.8,3.1,2.4,16.7,3.25,0
"Ricky Sobers",54,NA,34.6,6.5,13.4,0.482,NA,NA,NA,NA,NA,NA,2.9,3.6,0.809,NA,NA,3.8,5,NA,NA,4.1,3.2,15.8,0.72,0
"Will Solomon",94,64,29.1,5,12.7,0.392,2.7,6.5,0.418,2.3,6.2,0.366,3,4.1,0.717,NA,NA,2.8,2.6,1.2,0.4,3.4,2.5,15.2,7.42,0
"Darius Songaila",130,120,26.2,4.9,9.6,0.511,4.8,9.3,0.516,0.1,0.3,0.343,4.4,5.3,0.831,NA,NA,6.3,1.8,1.1,0.7,2.8,3.3,14.3,9.46,0
"James Southerland",112,13,18.7,2.9,6.5,0.449,1.5,2.8,0.553,1.4,3.7,0.37,0.7,0.9,0.74,0.8,2.5,3.3,0.6,0.9,0.8,0.6,1.5,7.9,8.15,0
"Pape Sow",72,70,32.4,5.3,11.3,0.468,5,10.4,0.484,0.3,0.9,0.294,4.9,7.3,0.667,2.8,6.2,9.1,0.8,1.4,0.8,2.6,3.6,15.8,-1.62,0
"Jim Spanarkel",114,NA,35.1,6.4,12.1,0.527,NA,NA,NA,NA,NA,NA,4.9,6.1,0.806,NA,NA,4,3.5,2.7,0.2,3.4,2.7,17.6,8.41,0
"Rory Sparrow",124,NA,31.3,3.9,7.5,0.525,NA,NA,NA,NA,NA,NA,1.7,2.1,0.792,NA,NA,2.2,NA,NA,NA,NA,NA,9.5,1.88,0
"Marreese Speights",69,36,15.4,4,6.2,0.633,4,6.2,0.633,0,0,NA,1.6,2.3,0.688,1.9,3.6,5.4,0.5,0.3,0.9,1.1,1.7,9.5,6.16,0
"Andre Spencer",55,NA,26.7,5.9,9.9,0.601,NA,NA,0.611,NA,NA,0.5,2.7,4.3,0.64,NA,NA,5.4,1.7,1.4,0.6,NA,NA,14.6,-0.28,0
"Elmore Spencer",70,27,24.2,4.5,7.5,0.603,4.5,7.4,0.607,0,0,0,1.6,3.1,0.516,NA,NA,5.9,1.5,0.7,2.5,2.3,2.2,10.6,4.56,0
"Felton Spencer",134,41,18.4,3.1,4.9,0.628,3.1,4.9,0.628,0,0,NA,2.6,3.9,0.676,NA,NA,5.2,0.7,0.4,1,1.5,2.9,8.7,8.33,0
"Latrell Sprewell",68,51,31.3,5,10.1,0.499,4,7.4,0.536,1.1,2.7,0.399,2.3,3.2,0.74,NA,NA,5.1,2,1.1,1.3,2.1,1.7,13.5,8,1
"Larry Spriggs",83,NA,NA,6.2,12,0.521,NA,NA,NA,NA,NA,NA,2.2,3.8,0.569,NA,NA,8.7,NA,NA,NA,NA,NA,14.9,-10.92,0
"Ryan Stack",120,60,21.2,2.3,4.8,0.473,1.8,3.4,0.517,0.5,1.4,0.362,1.5,2.2,0.69,NA,NA,4.2,0.8,0.5,1,1.7,2,6.5,7.63,0
"Jerry Stackhouse",69,34,27.6,5.1,10.3,0.496,4.6,8.7,0.522,0.6,1.6,0.355,4.9,6.7,0.72,NA,NA,6.6,2.3,1.3,1.1,2.9,1.9,15.7,11.26,1
"Kevin Stacom",89,NA,35.7,6.6,12.8,0.514,NA,NA,NA,NA,NA,NA,2.3,2.9,0.807,NA,NA,4,3.5,NA,NA,NA,1.8,15.5,0.27,0
"Terence Stansbury",115,NA,39.8,5.8,12.7,0.456,NA,NA,0.416,NA,NA,0.398,3.7,4.9,0.76,NA,NA,3.4,2.4,1.6,NA,NA,2.4,15.7,-0.69,0
"John Starks",30,28,32.7,5.1,10.3,0.497,3.8,6.7,0.559,1.4,3.6,0.38,3.8,4.5,0.838,NA,NA,4.7,4.6,2.2,0.3,3.1,3.3,15.4,7.83,1
"Nik Stauskas",75,69,32.9,4.3,9.2,0.467,2,4,0.5,2.3,5.2,0.441,3.2,3.9,0.832,0.5,2.5,2.9,2.3,0.6,0.3,1.5,1,14.1,9.85,0
"Larry Steele",75,NA,30.6,4.2,8.7,0.481,NA,NA,NA,NA,NA,NA,2.1,2.7,0.779,NA,NA,6.7,NA,NA,NA,NA,3.3,10.4,2.65,0
"Matt Steigenga",124,90,26.9,4.1,7.5,0.54,3.8,6.9,0.551,0.3,0.6,0.41,2.1,2.8,0.725,NA,NA,4.3,1.8,0.7,0.8,1.9,2.9,10.5,10.5,0
"Everette Stephens",119,63,22.6,3.2,6.4,0.499,NA,NA,0.555,NA,NA,0.447,1.7,2.3,0.722,NA,NA,2,4,1.3,0.8,2.4,2,8.8,9.12,0
"Lance Stephenson",34,32,28.2,4.8,10.8,0.44,4.3,8.7,0.495,0.5,2.1,0.219,2.3,3.5,0.664,1.9,3.5,5.4,2.5,0.9,0.2,2.4,1.9,12.3,8.45,0
"Alex Stepheson",137,60,19.1,2.4,4.7,0.52,2.4,4.7,0.52,0,0,NA,1,2.1,0.497,2.2,3.4,5.6,0.2,0.2,0.9,1.1,1.8,5.9,7.96,0
"Brook Steppe",77,24,27.4,5.3,10.3,0.516,NA,NA,NA,NA,NA,NA,3.7,4.7,0.783,NA,NA,3.7,1.7,0.9,0.2,2.4,2.8,14.4,5.82,0
"Barry Stevens",117,111,33.8,7.5,15.8,0.476,NA,NA,NA,NA,NA,NA,3.7,4.7,0.775,NA,NA,4.6,1.6,1.1,0.1,2.4,2.6,18.7,5.97,0
"Larry Stewart",91,63,36,7.4,11.5,0.646,7.4,11.5,0.647,0,0,0.333,5.2,7,0.737,NA,NA,11.6,1.2,1.1,1.6,2.6,NA,20,-9.81,0
"Michael Stewart",117,94,19.4,1.7,3.4,0.51,1.7,3.4,0.51,0,0,NA,0.8,1.7,0.487,NA,NA,4.7,0.3,0.4,1.8,0.8,2.7,4.3,8.16,0
"Greg Stiemsma",95,7,10,1.1,2,0.545,1.1,2,0.553,0,0,0,0.5,0.6,0.759,0.7,1.6,2.3,0.8,0.2,1,0.7,1.6,2.7,7.63,0
"Steve Stipanovich",128,123,33,5.5,10.3,0.538,NA,NA,NA,NA,NA,NA,3.3,4.5,0.721,NA,NA,7.7,1.8,0.5,1.2,2.5,3.2,14.3,5.43,0
"Bryant Stith",131,128,33.5,6.5,13.5,0.483,5.7,11.1,0.511,0.9,2.5,0.353,5.3,6.7,0.789,NA,NA,6.6,1.6,1.4,0.4,2.1,2.4,19.2,9.94,0
"Alex Stivrins",111,88,30.3,4.4,8.6,0.507,NA,NA,NA,NA,NA,NA,1.9,3.3,0.573,NA,NA,8,2.8,1.3,0.8,2.6,2.7,10.7,5.5,0
"David Stockton",138,39,19.9,1.6,3.8,0.424,1.1,2.2,0.515,0.5,1.7,0.306,1.1,1.5,0.7,0.1,1.5,1.6,3.1,1.2,0.1,1.5,1.7,4.8,4.19,0
